Username,Password,Salt,Hash
D190007,,dEXleDQMEoAScYrNnOQ+lw==,rBf9imZNZ4g=
S0009,,C05w8ANdBha2+ArOmO20WA==,VRkJf+I6AUQ=
S0007,,ZS6xXdSbjaNYMTPZnUxomA==,dZ2wF+aXL7o=
S0002,,5pZlDKI44+KgZJpoc57F5g==,U6aIZ7Ae57c=
CONG123,,5pZlDKI44+KgZJpoc57F5g==,U6aIZ7Ae57c=
DON001,,5vW2Zl8gjVkIWuYecenNFA==,Z9XuLJ8POW8=
S00010,,9SpKGGniwDb6VyLkj3nMZA==,kUDCGpfJjTg=
JOBAMA2020,,5FSfcPbxrGMkSvLMloTc3w==,KfPKRIqGCeU=
LMIN456,,f4u5TVQuLNKZKXphjdjoNA==,arm+5e3JywI=
S0003,,XnOQYHRkhL+Xjk4+Lr5NLg==,9b65a3w9HyY=
KIMCHI,,vpy4WTixKQPKY2tTSmAzYQ==,7mraXkhgJig=
PARKSY78,,PE93RHB3O1uPnJlvey+rSw==,zATvsBgc5zM=
S00012,,3uB0sAiVfZpjyvB47Kyt1g==,YT9UjFYbMB0=
S00021,,x5zZ0tiDF7dvjPLB7oBCMw==,09RHMhyo9kY=
BILLG41,,KCE/trDpGZK5Nd8HH+Kkkw==,xt7HwLtKpq4=
